"","DATE","Energy"
"1","10/22/16",4.52
"2","10/23/16",23.32
"3","10/24/16",7.16
"4","10/25/16",8.68
"5","10/26/16",5.04
"6","10/27/16",5.32
"7","10/28/16",4.64
"8","10/29/16",10.64
"9","10/30/16",7.44
"10","10/31/16",8.84
"11","11/1/16",11.44
"12","11/2/16",18.2
"13","11/3/16",14.16
"14","11/4/16",8.28
"15","11/5/16",19.64
"16","11/6/16",6.88
"17","11/7/16",7.28
"18","11/8/16",6.04
"19","11/9/16",9.04
"20","11/10/16",11.24
"21","11/11/16",6.48
"22","11/12/16",10.28
"23","11/13/16",16.4
"24","11/14/16",8.44
"25","11/15/16",5.64
"26","11/16/16",10
"27","11/17/16",19.04
"28","11/18/16",17.68
"29","11/19/16",10.36
"30","11/20/16",7
"31","11/21/16",9.44
"32","11/22/16",16.28
"33","11/23/16",19.2
"34","11/24/16",22.2
"35","11/25/16",13.8
"36","11/26/16",10.4
"37","11/27/16",15.68
"38","11/28/16",23.08
"39","11/29/16",26.44
"40","11/30/16",24.32
"41","12/1/16",12.52
"42","12/2/16",34.08
"43","12/3/16",16.08
"44","12/4/16",10.36
"45","12/5/16",13.8
"46","12/6/16",11.52
"47","12/7/16",26.52
"48","12/8/16",19.84
"49","12/9/16",13.04
"50","12/10/16",8.32
"51","12/11/16",0.1
"52","12/12/16",19.36
"53","12/13/16",25.96
"54","12/14/16",8.56
"55","12/15/16",8.2
"56","12/16/16",11.08
"57","12/17/16",12.68
"58","12/18/16",33.2
"59","12/19/16",33.68
"60","12/20/16",29.04
"61","12/21/16",25.32
"62","12/22/16",18.4
"63","12/23/16",18
"64","12/24/16",24.72
"65","12/25/16",31.96
"66","12/26/16",33.84
"67","12/27/16",20.8
"68","12/28/16",34.32
"69","12/29/16",35.32
"70","12/30/16",16.24
"71","12/31/16",17.76
"72","1/1/17",39.72
"73","1/2/17",32.28
"74","1/3/17",22.68
"75","1/4/17",15.64
"76","1/5/17",15.44
"77","1/6/17",26.4
"78","1/7/17",26.48
"79","1/8/17",17.76
"80","1/9/17",10.96
"81","1/10/17",19.28
"82","1/11/17",18.04
"83","1/12/17",22.76
"84","1/13/17",19.16
"85","1/14/17",28.4
"86","1/15/17",37.36
"87","1/16/17",34.88
"88","1/17/17",21.2
"89","1/18/17",20.16
"90","1/19/17",29.8
"91","1/20/17",18.32
"92","1/21/17",21.04
"93","1/22/17",27.92
"94","1/23/17",23.08
"95","1/24/17",23.2
"96","1/25/17",23.04
"97","1/26/17",24.76
"98","1/27/17",28.52
"99","1/28/17",27.28
"100","1/29/17",20.16
"101","1/30/17",16.2
"102","1/31/17",30.48
"103","2/1/17",18.52
"104","2/2/17",22.52
"105","2/3/17",12.24
"106","2/4/17",7.84
"107","2/5/17",21.76
"108","2/6/17",21.44
"109","2/7/17",16.04
"110","2/8/17",6.24
"111","2/9/17",9.16
"112","2/10/17",7.24
"113","2/11/17",15.36
"114","2/12/17",24.08
"115","2/13/17",12.92
"116","2/14/17",11.12
"117","2/15/17",13.16
"118","2/16/17",5.52
"119","2/17/17",10.64
"120","2/18/17",21.84
"121","2/19/17",8.68
"122","2/20/17",16.84
"123","2/21/17",7.72
"124","2/22/17",22.76
"125","2/23/17",29.68
"126","2/24/17",25.92
"127","2/25/17",24.52
"128","2/26/17",26
"129","2/27/17",20.52
"130","2/28/17",17.84
"131","3/1/17",12.84
"132","3/2/17",18.04
"133","3/3/17",24.52
"134","3/4/17",16.28
"135","3/5/17",24.28
"136","3/6/17",22.36
"137","3/7/17",14.92
"138","3/8/17",17.12
"139","3/9/17",6.08
"140","3/10/17",5.24
"141","3/11/17",5.24
"142","3/12/17",8.36
"143","3/13/17",7.4
"144","3/14/17",6.92
"145","3/15/17",7.2
"146","3/16/17",8.36
"147","3/17/17",5.8
"148","3/18/17",7.24
"149","3/19/17",8.84
"150","3/20/17",5.36
"151","3/21/17",5.2
"152","3/22/17",5.76
"153","3/23/17",4.8
"154","3/24/17",10.88
